feature,importance
feature_4,0.18888573520247498
feature_5,0.11250457376187499
feature_3,0.08765668784274883
feature_28,0.06725674262986155
feature_32,0.059143257417221026
feature_33,0.05547452663267016
feature_11,0.05094929221763235
feature_29,0.04802222750571187
feature_1,0.041521271924033105
feature_34,0.035080147825743535
feature_22,0.030356623443705
feature_35,0.029243748165667684
feature_2,0.027850658011517922
feature_25,0.01884305378759185
feature_36,0.018783024244322273
